name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
Fantastic Top Floor 1 BR Loft Flat in Fitzrovia,"Fantastic Top Floor 1 BR Loft Flat in Fitzrovia is located in the Westminster Borough district of London, 600 metres from Oxford Street, 1.",Little Titchfield Street,,,London,Greater London,W1W 7BX,UK,,,,,W1W,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Margarita'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
"NEW Oxford Circus 2 Bedr, 3 Beds Best Location","Offering city views, NEW Oxford Circus 2 Bedr, 3 Beds Best Location is an accommodation situated in London, 500 metres from Oxford Street and 1 km from...",44 Mortimer Street,,,London,Greater London,W1W 7RJ,UK,,,,,W1W,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Steve'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Beautiful Central London Apartment,"In the Westminster Borough district of London, close to Oxford Street, Beautiful Central London Apartment has free WiFi and a washing machine.",Great Titchfield Street,,,London,Greater London,W1W 7PR,UK,,,,,W1W,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Oxford Circus Apartments,Oxford Circus Apartments provides accommodation within 1.,4 Bourlet Close,,,London,Greater London,W1W 7BJ,UK,,,,,W1W,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Urban Stay Ltd.'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Apartments'>]"
Mermaid Suite Hotel,"With its own restaurant, the Mermaid Suite Hotel is situated just off Oxford Street, in the heart of the fashionable West End.",3-4 Blenheim Street,,,London,Greater London,W1S 1LA,UK,,,,,W1S,Hotel,,
COMO Metropolitan London,"Welcome to COMO Metropolitan London, a light-filled Mayfair hotel, located in one of the best locations in Central London.",Old Park Lane,,,London,Greater London,W1K 1LB,UK,,,,,W1K,Hotel,,
Stay in bond street,"In the Westminster Borough district of London, close to Piccadilly Circus, Stay in bond street features a terrace and a washing machine.",Brook's Mews,,,London,Greater London,W1K 4DT,UK,,,,,W1K,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Parklane apartments ltd'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Apartments'>]"
Oxford Street Apartments Hosted by Maysa London,"Situated in the centre of London, 400 metres from Oxford Street and 700 metres from Oxford Circus, Oxford Street Apartments Hosted by Maysa London offers...",395 Oxford Street 11 Gilbert Court,,,London,Greater London,W1C 2JY,UK,,,,,W1C,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Maysa apartments'>, <Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Facilities of Oxford Street Apartment...'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
"The Biltmore Mayfair, LXR Hotels & Resorts","Situated in the affluent area of London’s West End, The Biltmore Mayfair is steps away from the finest shopping, dining and royal parks.",44 Grosvenor Square,,,London,Greater London,W1K 2HP,UK,,,,,W1K,Hotel,,
London Marriott Hotel Grosvenor Square,This magnificent 5-star hotel offers luxurious air-conditioned rooms in London's West End.,Grosvenor Square,,,London,Greater London,W1K 6JP,UK,,,,,W1K,Hotel,,
Grosvenor House Suites,"Grosvenor House Suites offers 5-star accommodation in the heart of Mayfair, with a 24-hour concierge service, a daily maid service, and a 24-hour fitness...",86 Park Lane,,,London,Greater London,W1K 7TN,UK,,,,,W1K,Aparthotel,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Grosvenor House Suites'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Apartments'>]"
London Marriott Hotel Park Lane,"This 5-star hotel is situated in the centre of London's West End, on the corner of Oxford Street and Park Lane.",140 Park Lane,,,London,Greater London,W1K 7AA,UK,,,,,W1K,Hotel,,
Mayfair - Peterson House by Viridian Apartments,"Located in the centre of London, Mayfair - Peterson House by Viridian Apartments is a recently renovated accommodation, which provides soundproof rooms.",Gilbert Street,,,London,Greater London,W1K 5HX,UK,,,,,W1K,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Viridian Apartments'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Apartments'>]"
London Hilton on Park Lane,Stay at the London Hilton on Park Lane and enjoy stunning views of London from all guest rooms along with magnificent 360° city views from the...,22 Park Lane,,,London,Greater London,W1K 1BE,UK,,,,,W1K,Hotel,,
JW Marriott Grosvenor House London,"Standing on Park Lane in Mayfair, this excellently located landmark hotel is perfect for Hyde Park, Buckingham Palace, shopping on Oxford Street, and West...",86-90 Park Lane,,,London,Greater London,W1K 7TN,UK,,,,,W1K,Hotel,,
